Nome (codificado),Sexo,Localidade,Bolsa Família,Distancia da Escola (Km),Tipo de Escola EF,Renda Familiar,Responsável,Escolaridade do Responsável,Profissão do Responsável,Tamanho Família,Participação Econômica,Media,4º MAT,5º MAT,6º MAT,7º MAT,8º MAT,9º MAT
Aluno 01,0,0,1,20,1,1700,1,2,0,6,1,6.66666666666667,8,6,6,7,6,7
Aluno 02,0,1,0,21,1,3000,1,2,4,4,1,8.51666666666667,8.8,8.8,7.3,7.9,9.5,8.8
Aluno 03,0,1,0,28,1,2840,1,5,0,3,1,7,8.2,7.9,6,6.3,8.3,5.3
Aluno 04,0,0,1,5,1,1320,1,2,0,3,1,8.66666666666667,8,9,8,9,9,9
Aluno 05,0,1,0,23,1,2000,1,2,0,4,1,7.3,7.8,8,8,8,6,6
Aluno 06,0,0,0,5,1,2600,0,5,0,4,1,8,9,7,9,10,7,6
Aluno 07,1,0,1,12,1,1680,1,5,0,4,1,7.33333333333333,7,7,8,9,6,7
Aluno 08,0,1,1,19,1,2300,1,1,4,4,1,6.43333333333333,6.6,6.8,6.7,7,6.5,5
Aluno 09,0,0,0,5,1,3960,1,4,0,6,1,7.66666666666667,8,6,9,7,8,8
Aluno 10,1,0,1,31.5,1,600,1,5,0,3,1,7.53333333333333,8.6,8,7.3,6.8,7.7,6.8
Aluno 11,1,0,1,5,1,700,1,5,0,2,1,7,9,9,6,6,6,6
Aluno 12,0,0,0,3,1,3320,2,2,1,5,1,6.83333333333333,7,8,7,6,7,6
Aluno 13,1,1,0,22,1,1350,1,2,0,4,1,8.1,9,9.8,6.8,7,8,8
Aluno 14,0,0,0,5,1,600,2,4,3,5,1,6.16666666666667,6,6,6,7,6,6
Aluno 15,1,1,0,20,1,800,1,2,0,4,1,7.5,7,7,8,9,7,7
Aluno 16,1,0,0,5,1,2200,2,2,0,2,1,7,8,7,6,7,7,7
Aluno 17,1,0,0,19,1,650,1,5,0,4,1,6.5,7,6,6,6,6,8
Aluno 18,0,0,0,17,1,2000,1,2,1,5,1,7.7,7.6,8.9,8.6,7.8,6.1,7.2
Aluno 19,0,1,0,19,1,4200,1,0,1,6,1,7.83333333333333,7,7,10,9,7,7
Aluno 20,0,0,0,16,1,650,1,5,0,3,1,8.33333333333333,9,8,9,9,7,8
Aluno 21,1,0,0,17,1,3440,1,2,0,4,1,6.5,7,6,7,6,6,7
Aluno 22,1,1,1,25,1,2150,0,2,0,3,1,7.33333333333333,7,8,7,8,7,7
Aluno 23,0,0,1,17,1,1050,1,4,0,3,1,7,7,6,9,7,6,7
Aluno 24,0,1,0,20,1,5400,1,2,0,4,1,6.96666666666667,7.5,6,7,9.2,6.2,5.9
Aluno 26,0,0,1,16,1,2000,1,5,0,8,1,6.33333333333333,6,7,6,6,7,6
Aluno 27,0,1,1,1,1,800,1,4,0,3,1,8.16666666666667,10,9,8,8,7,7
Aluno 28,0,1,0,20,1,2600,1,2,2,4,1,7.83333333333333,8,9,8,7,7,8
Aluno 29,1,0,0,18,1,2900,1,2,2,5,0,8.6,9.3,8.4,10,10,7.3,6.6
Aluno 30,1,1,1,1,1,1060,1,2,0,5,1,7.33333333333333,8,6,7,9,8,6
Aluno 31,1,0,0,40,1,600,1,5,0,3,1,6,6,6,6,6,6,6
Aluno 32,0,0,0,20,1,600,1,4,0,3,1,6.16666666666667,6,6,7,6,6,6
Aluno 33,0,1,1,20,1,1160,1,4,0,4,1,6.85,6,6.7,6.3,6,8.1,8
Aluno 34,0,0,0,25,1,650,1,4,0,3,1,7.5,9,7,8,6,6,9
Aluno 35,0,1,0,1,1,1000,1,5,0,7,1,7.5,9,7,7,8,7,7
Aluno 36,0,0,0,6,1,800,0,2,0,6,1,6.16666666666667,6,6,7,6,6,6
Aluno 37,0,1,0,22,1,650,1,5,0,2,1,6.28333333333333,5.5,6,6.2,7.5,6,6.5
Aluno 38,0,1,1,22,1,1300,1,5,0,3,1,7.2,6.7,6,9.5,9.8,5.1,6.1
Aluno 39,0,1,1,2,1,1000,1,2,0,3,1,7.5,9,6,8,8,7,7
Aluno 40,0,1,1,12,1,2100,1,2,0,5,1,7.5,9,8,7,6,7,8
Aluno 41,0,1,0,12,1,3300,1,0,1,5,1,7.83333333333333,8,8,10,7,7,7
Aluno 42,1,1,0,20,1,2824,0,0,1,4,1,7.16666666666667,8,8,6,8,6,7
Aluno 43,1,1,0,22,1,8000,1,0,2,5,1,7.26666666666667,8.3,8.5,7,6,6.9,6.9
Aluno 44,0,0,0,22,1,1350,1,5,0,4,1,6.4,5.4,7,7,6,6,7
Aluno 45,0,0,1,20,1,1320,1,2,0,3,1,7,8,7,8,7,6,6
Aluno 48,0,1,0,1,0,4000,1,0,1,3,1,9.16666666666667,9.3,10,9.6,9.2,8.7,8.2
Aluno 49,0,1,0,1,0,8500,1,0,1,4,1,8.18333333333333,8.6,9.5,7.6,8,7.8,7.6
Aluno 50,1,0,1,20,1,600,1,2,0,4,1,7.43333333333333,7.2,7.5,6.5,8.5,7.9,7
Aluno 51,1,0,1,3,1,2300,1,3,0,7,1,7.83333333333333,9,8,8,6,7,9
Aluno 52,1,0,1,3,1,1100,1,2,0,5,1,8.33333333333333,9,9,8,9,8,7
Aluno 53,0,1,0,25,1,1800,0,2,4,3,1,7.26666666666667,8.5,7.4,7.7,6,7.5,6.5
Aluno 54,1,0,1,12,1,1900,1,5,0,3,1,7.83333333333333,9,8,7,7,8,8
Aluno 55,1,0,1,32,1,1400,0,5,0,3,1,6.91666666666667,6.1,8.6,7.5,6.1,7.2,6
Aluno 56,0,0,1,4,1,600,1,2,0,3,1,6.33333333333333,7,6,6,7,6,6
Aluno 57,0,1,0,22,1,1200,1,5,0,5,1,6.86666666666667,9.4,7.8,7,6,6,5
Aluno 58,1,0,0,18,1,3824,1,4,0,9,1,6.33333333333333,7,6,6,6,7,6
Aluno 59,1,0,0,3,1,1212,0,2,0,5,1,6.33333333333333,6,6,6,6,8,6
Aluno 60,1,0,1,4,1,800,1,2,0,5,1,7.33333333333333,8,9,6,8,6,7
Aluno 61,0,0,1,14,1,700,1,5,0,3,1,6.5,6,6,6,8,7,6
Aluno 62,1,1,1,1,1,1320,1,2,0,3,1,6.83333333333333,6,6,7,7,8,7
Aluno 63,1,0,0,4,1,1200,1,0,2,4,1,6.83333333333333,6,7,6,8,7,7
Aluno 64 ,0,1,1,1.5,1,700,1,3,0,7,1,6.83333333333333,6,7,7,6,9,6
Aluno 65,1,1,1,1.5,1,600,1,3,0,6,1,6.16666666666667,6,6,6,7,6,6
Aluno 66,0,0,0,18,1,1200,2,0,0,6,1,7.33333333333333,10,6,6,7,8,7
Aluno 67,0,1,1,32,1,1600,1,2,0,3,1,6.78333333333333,6.7,7.6,6.3,6.7,6.9,6.5
Aluno 68,0,0,0,1,1,1800,1,2,0,5,1,8.51666666666667,9.7,9.8,9,6.6,7.5,8.5
Aluno 69,1,1,0,21,1,1500,1,5,0,3,1,7.6,8.3,7.7,8,7.3,9.3,5
Aluno 70,0,1,0,4,1,4190,1,1,1,4,1,8.16666666666667,8,8,8,9,9,7
Aluno 71,1,1,0,2,1,4040,1,0,1,4,1,6.63333333333333,7.6,6.9,6.5,7.2,5.6,6
Aluno 72,1,0,0,27,1,1512,1,2,2,4,1,6.5,7,6,6,7,6,7
Aluno 73,0,0,0,18,1,600,1,5,0,3,1,8.5,10,9,8,8,9,7
Aluno 74,1,0,1,1.3,1,800,2,2,0,3,1,6.16666666666667,6,6,6,6,6,7
Aluno 75,1,1,0,2,1,2000,2,5,0,2,1,6.16666666666667,6,6,6,6,7,6
Aluno 76,0,1,0,22,0,1200,1,2,0,3,1,7.86666666666667,7,7.5,7.6,8.8,9.2,7.1
Aluno 77,0,1,0,1,1,2604,0,2,0,4,1,8.31666666666667,9.2,8.6,7.6,6.9,9.1,8.5
Aluno 78,0,0,1,4,1,600,1,4,0,3,1,7.66666666666667,8,7,8,8,7,8
Aluno 79,0,0,1,10,1,600,1,2,0,2,1,6.16666666666667,7,6,6,6,6,6
Aluno 80,1,1,0,17,1,1100,1,5,0,3,1,6.66666666666667,7,7,6,6,8,6
Aluno 81,1,1,1,20,1,1200,1,3,3,4,1,8.83333333333333,10,9,9,9,7,9
Aluno 82,0,0,0,11,1,1398,0,0,1,2,1,7.66666666666667,9,8,8,6,7,8
Aluno 83,1,0,0,2,1,1100,1,6,5,3,1,6.66666666666667,7,7,7,6,6,7
Aluno 84,0,0,1,4,1,600,1,5,0,4,0,6.5,6,6,6,6,8,7
Aluno 85,0,0,1,24,1,700,1,3,0,4,0,7.85,8.5,7.6,6.7,8.3,8.5,7.5
Aluno 86,0,1,0,19,1,1100,0,5,0,4,1,7,8,8,7,6,7,6
Aluno 87,0,1,0,2,1,2000,1,2,0,4,1,7.16666666666667,8,7,7,6,8,7
Aluno 88,0,1,0,2,1,1600,1,5,0,3,1,6.66666666666667,6,6,6,6,8,8
Aluno 89,1,1,0,28,1,2600,1,2,2,3,0,7.66666666666667,7.7,7.2,7.6,7.5,9,7
Aluno 90,1,0,1,20,1,677,1,4,0,5,0,9.16666666666667,10,10,9,8,9,9
Aluno 91,1,1,0,20,1,3600,2,6,0,3,1,7.66666666666667,8,8,8,7,7,8
Aluno 92,1,1,1,20,1,1700,1,2,0,6,0,9.3,9.1,8.9,9.1,9.1,10,9.6
Aluno 93,0,1,0,22,1,2000,1,2,1,2,1,8.78333333333333,8.3,9.2,8.8,8.7,9.1,8.6
Aluno 94,0,1,0,22,1,5200,1,1,2,5,1,8.01666666666667,8.6,8,8.2,7,8.8,7.5
Aluno 95,0,0,0,16,1,2850,0,3,0,4,1,8.16666666666667,8,10,9,6,8,8
Aluno 96,0,0,0,18,1,450,1,4,0,3,1,8,7,8,7,7,10,9
Aluno 97,1,1,1,20,1,4500,1,0,1,4,1,8.66666666666667,10,9,8,8,9,8
Aluno 98,0,0,0,5,1,2400,1,5,0,9,1,7.5,9,7,7,7,7,8
Aluno 99,0,1,0,22,1,1200,1,5,0,2,1,8.16666666666667,8.7,8.3,6,7,10,9
Aluno 100,0,0,0,20,1,2800,0,0,1,5,1,8,8.4,8,7.8,6.3,7.5,10
Aluno 101,0,1,1,37,1,400,0,4,0,5,1,8.16666666666667,7.8,9.3,8.3,6.3,9.2,8.1
Aluno 102,0,1,0,20,1,1100,1,2,1,3,1,9.33333333333333,10,9,9,9,9,10
Aluno 103,0,1,1,20,1,550,1,2,0,2,1,9,10,9,9,8,9,9
Aluno 104,0,0,1,20,1,550,1,5,0,3,1,7.83333333333333,9,8,7,6,9,8
Aluno 105,1,0,1,23,1,750,0,4,0,3,1,8.16666666666667,8,9,8,8,8,8
Aluno 106,0,0,1,15,1,600,1,5,0,5,1,7,8,6,6,7,8,7
Aluno 107,0,1,0,31,1,1035,1,4,0,5,1,6.56666666666667,6.1,7.9,6.6,5,6,7.8
Aluno 108,1,0,1,10,1,900,1,4,0,4,1,6.66666666666667,6,7,6,6,9,6
Aluno 109,1,0,1,18,1,2320,0,5,0,6,1,6.83333333333333,9,6,6,6,7,7
Aluno 110,1,1,0,2,1,1100,1,2,4,3,1,6.66666666666667,6,6,6,6,8,8
Aluno 111,0,1,0,1,1,1100,1,0,1,3,1,6.5,7,7,6,6,7,6
